Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
NGA,2002-05-01,2002-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2002,2002,,25.270088,A,base year is 2015
NGA,2003-05-01,2003-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2003,2003,,26.156077,A,base year is 2015
NGA,2004-05-01,2004-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2004,2004,,30.911252,A,base year is 2015
NGA,2005-05-01,2005-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2005,2005,,35.710892,A,base year is 2015
NGA,2006-05-01,2006-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2006,2006,,38.807772,A,base year is 2015
NGA,2007-05-01,2007-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2007,2007,,39.793856,A,base year is 2015
NGA,2008-05-01,2008-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2008,2008,,45.608352,A,base year is 2015
NGA,2009-05-01,2009-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2009,2009,,52.675724,A,base year is 2015
NGA,2010-05-01,2010-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2010,2010,,59.822284,A,base year is 2015
NGA,2011-05-01,2011-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2011,2011,,66.740594,A,base year is 2015
NGA,2012-05-01,2012-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2012,2012,,75.286939,A,base year is 2015
NGA,2013-05-01,2013-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2013,2013,,82.270352,A,base year is 2015
NGA,2014-05-01,2014-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2014,2014,,90.215674,A,base year is 2015
NGA,2015-05-01,2015-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2015,2015,,99.010497,A,base year is 2015
