Date,Price,Open,High,Low,Vol.,Change %
2013-03-21,158.63,158.95,159.05,158.63,,-0.11%
2013-03-22,158.25,158.55,158.55,158.25,,-0.24%
2013-03-25,158.25,158.24,158.25,158.1,,0.00%
2013-03-26,158.35,158.3,158.35,158.25,,0.06%
2013-03-27,158.21,158.25,158.35,158.15,,-0.09%
2013-03-28,158.55,158.28,158.65,158.1,,0.21%
2013-03-29,158.55,158.55,158.55,158.55,,0.00%
2013-04-01,158.575,158.175,158.575,158.175,,0.02%
2013-04-02,158.5,158.45,158.5,158.35,,-0.05%
2013-04-03,158.0,158.15,158.15,158.0,,-0.32%
2013-04-04,157.57,158.05,158.05,157.55,,-0.27%
2013-04-05,157.5,157.4,157.5,157.4,,-0.04%
2013-04-08,157.6,157.6,157.6,157.5,,0.06%
2013-04-09,157.65,157.4,157.65,157.4,,0.03%
2013-04-10,157.4,157.65,157.65,157.4,,-0.16%
2013-04-11,157.6,157.55,157.65,157.1,,0.13%
2013-04-12,157.9,157.8,157.9,157.8,,0.19%
2013-04-15,157.9,157.8,158.33,157.36,,0.00%
2013-04-16,158.1,158.3,158.3,157.45,,0.13%
2013-04-17,158.4,157.45,158.4,157.45,,0.19%
2013-04-18,158.5,158.45,158.9,158.45,,0.06%
2013-04-19,158.63,158.65,158.65,158.55,,0.08%
2013-04-22,158.8,158.3,158.8,158.2,,0.11%
2013-04-23,158.7,158.75,158.85,158.7,,-0.06%
2013-04-24,158.95,158.15,158.95,158.15,,0.16%
2013-04-25,158.95,158.95,159.15,158.95,,0.00%
2013-04-26,158.65,159.15,159.2,158.65,,-0.19%
2013-04-29,157.75,158.65,158.95,157.75,,-0.57%
2013-04-30,158.0,158.3,158.3,157.45,,0.16%
2013-05-01,158.0,158.0,158.0,158.0,,0.00%
2013-05-02,158.25,158.05,158.25,157.85,,0.16%
2013-05-03,158.0,158.1,158.15,158.0,,-0.16%
2013-05-06,157.9,157.9,158.1,157.8,,-0.06%
2013-05-07,158.0,157.45,158.0,157.45,,0.06%
2013-05-08,157.725,157.675,157.875,157.675,,-0.17%
2013-05-09,157.45,157.75,158.05,157.25,,-0.17%
2013-05-10,157.65,157.55,157.65,157.55,,0.13%
2013-05-13,157.375,157.375,157.725,157.375,,-0.17%
2013-05-14,157.25,157.45,157.5,157.25,,-0.08%
2013-05-15,157.4,157.9,157.9,157.4,,0.10%
2013-05-16,158.13,157.55,158.13,157.44,,0.46%
