"Rate Date","Rate Type","Range","Weighted Average"
"8/31/2023","OBB Rate","0.5 - 4.00","1.30",
"8/30/2023","Call Rate","2.00 - 2.00","2.00",
"8/30/2023","OBB Rate","1.00 - 5.00","2.66",
"8/29/2023","OBB Rate","1.00 - 5.00","2.54",
"8/28/2023","OBB Rate","1.00 - 25.00","7.19",
"8/25/2023","OBB Rate","20.00 - 28.00","24.52",
"8/24/2023","OBB Rate","23.00 - 30.00","26.84",
"8/23/2023","OBB Rate","12.00 - 26.00","23.79",
"8/22/2023","OBB Rate","19.00 - 27.00","23.66",
"8/21/2023","OBB Rate","19.00 - 25.00","23.53",
"8/18/2023","OBB Rate","17.00 - 24.00","20.35",
"8/17/2023","OBB Rate","16.00-24.50","21.63",
"8/16/2023","OBB Rate","9.00 - 25.00","21.18",
"8/15/2023","OBB Rate","5.00 - 14.00","9.78",
"8/11/2023","OBB Rate","2.00 - 5.00","4.11",
"8/10/2023","OBB Rate","1.00 - 7.00","2.80",
"8/9/2023","OBB Rate","1.00 - 8.00","2.82",
"8/8/2023","Call Rate","5.00 - 5.00","5.00",
"8/8/2023","OBB Rate","1.00 - 10.00","3.18",
"8/7/2023","Call Rate","4.50 - 5.00","4.68",
"8/7/2023","OBB Rate","1.00 - 12.00","6.11",
"8/4/2023","OBB Rate","1.00 - 7.00","6.74",
"8/3/2023","OBB Rate","1.00 - 7.00","2.27",
"8/2/2023","OBB Rate","1.00 - 1.50","1.01",
"8/1/2023","OBB Rate","1.00 - 1.50","1.03",
"7/31/2023","OBB Rate","1.00-2.00","1.21",
"7/30/2023","OBB Rate","1.00 - 2.00","1.06",
"7/27/2023","OBB Rate","1.00 - 3.00","1.17",
"7/26/2023","OBB Rate","1.00 - 8.00","3.57",
"7/25/2023","OBB Rate","5.50 - 17.00","11.70",
"7/24/2023","OBB Rate","10.00 - 19.00","15.65",
"7/21/2023","Call Rate","23.00 - 23.00","23.00",
"7/21/2023","OBB Rate","16.00 - 25.00","20.96",
"7/20/2023","Call Rate","21.00-21.00","21.00",
"7/20/2023","OBB Rate","15.00-26.00","21.04",
"7/19/2023","OBB Rate","3.00 - 26.00","19.64",
"7/18/2023","Call Rate","4.00 - 4.00","4.00",
"7/18/2023","OBB Rate","1.00 - 8.00","3.73",
"7/17/2023","Call Rate","1.00 - 1.00","1.00",
"7/17/2023","OBB Rate","1.00 - 5.00","1.98",
"7/14/2023","Call Rate","0.50 - 1.25","0.99",
"7/14/2023","OBB Rate","1.00 - 3.00","1.57",
"7/13/2023","OBB Rate","1.00 - 2.50","1.46",
