"Rate Date","Rate Type","Range","Weighted Average"
"3/9/2023","Call Rate","10.50 - 10.50","10.50",
"3/8/2023","OBB Rate","10.50 - 12.50","10.80",
"3/7/2023","OBB Rate","10.50 - 12.00","10.77",
"3/6/2023","OBB Rate","10.50 - 12.00","10.88",
"3/3/2023","OBB Rate","11.00 - 14.50","12.61",
"3/2/2023","OBB Rate","10.50 - 10.50","10.50",
"3/1/2023","OBB Rate","10.50 - 11.50","10.55",
"2/28/2023","OBB Rate","10.50 - 10.75","10.50",
"2/27/2023","OBB Rate","9.00 - 16.00","10.90",
"2/27/2023","Call Rate","10.50 - 10.50","10.50",
"2/24/2023","OBB Rate","10.50 - 13.00","10.62",
"2/24/2023","Call Rate","10.50 - 10.50","10.50",
"2/23/2023","OBB Rate","10.50 - 11.00","10.51",
"2/23/2023","Call Rate","10.50 - 10.50","10.50",
"2/22/2023","OBB Rate","10.50 - 16.50","11.25",
"2/21/2023","OBB Rate","12.00 - 18.50","16.76",
"2/20/2023","OBB Rate","13.00 - 18.50","17.20",
"2/20/2023","Call Rate","18.00 - 18.00","18.00",
"2/17/2023","OBB Rate","11.50 - 18.50","17.61",
"2/17/2023","Call Rate","18.50 - 18.50","18.50",
"2/16/2023","OBB Rate","10.50 - 18.50","16.15",
"2/16/2023","Call Rate","16.00 - 16.00","16.00",
"2/15/2023","Call Rate","16.00 - 16.00","16.00",
"2/15/2023","OBB Rate","11.00 - 18.50","15.29",
"2/14/2023","OBB Rate","10.50 - 12.00","11.03",
"2/14/2023","Call Rate","12.00 - 12.00","12.00",
"2/10/2023","OBB Rate","10.50 -11.50","10.59",
"2/10/2023","Call Rate","10.50 - 10.50","10.50",
"2/2/2023","OBB Rate","9.50 - 10.50","10.47",
"2/1/2023","OBB Rate","9.50 - 12.00","10.47",
"2/1/2023","Call Rate","10.50 - 10.50","10.50",
"1/31/2023","OBB Rate","9.50 - 10.50","10.38",
"1/31/2023","Call Rate","10.50 - 10.50","1050",
"1/30/2023","OBB Rate","9.50 - 11.50","10.47",
"1/30/2023","Call Rate","10.50 - 10.50","10.50",
"1/30/2023","OBB Rate","9.50 - 11.50","10.16",
"1/26/2023","OBB Rate","9.50 - 10.50","10.40",
"1/26/2023","Call Rate","10.50 - 10.50","10.50",
"1/25/2023","OBB Rate","10.50 - 11.75","10.59",
"1/25/2023","Call Rate","10.50 - 10.50","10.50",
"1/24/2023","Call Rate","10.50 - 10.50","10.50",
"1/24/2023","OBB Rate","9.50 - 10.50","9.75",
"1/23/2023","OBB Rate","9.50 - 12.00","10.00",
"1/20/2023","OBB Rate","9.50 - 16.00","10.53",
"1/19/2023","OBB Rate","9.50 - 10.00","9.51",
"1/18/2023","OBB Rate","9.50 - 12.00","9.66",
"1/17/2023","OBB Rate","9.50 - 11.00","9.63",
"1/16/2023","OBB Rate","9.50 - 10.00","9.54",
"1/13/2023","OBB Rate","9.50-12.00","9.92",
"1/12/2023","OBB Rate","9.50-11.00","10.18",
"1/12/2023","7-Day","10.00-10.00","10.00",
"1/11/2023","OBB Rate","9.50-13.50","9.68",
"1/10/2023","Call Rate","9.50 - 9.50","9.50",
"1/10/2023","OBB Rate","9.50 - 13.50","9.72",
"1/9/2023","Call Rate","10.00 - 10.00","10.00",
"1/9/2023","OBB Rate","9.50 - 12.00","9.92",
"1/6/2023","OBB Rate","9.50 - 17.500","13.57",
"1/5/2023","OBB Rate","9.50 - 11.00","9.66",
"1/4/2023","OBB Rate","9.50 - 11.00","9.74",
"1/3/2023","Call Rate","9.50 - 9.50","9.50",
"1/3/2023","OBB Rate","9.50 - 10.50","9.84",
"12/30/2022","Call Rate","10.00 - 10.00","10.00",
"12/30/2022","OBB Rate","9.50 - 7.50","10.74",
"12/29/2022","OBB Rate","9.50 - 17.50","10.15",
"12/28/2022","OBB Rate","9.50 - 17.50","10.90",
"12/23/2022","Call Rate","16.50 - 17.00","16.75",
"12/23/2022","OBB Rate","9.50 - 17.50","14.69",
"12/22/2022","Call Rate","9.50 - 950","9.50",
"12/22/2022","OBB Rate","9.50 - 10.00","9.52",
"12/21/2022","OBB Rate","9.50 - 13.00","9.62",
"12/20/2022","OBB Rate","9.50 - 10.50","9.67",
"12/19/2022","OBB Rate","9.50 - 11.00","9.77",
"12/16/2022","OBB Rate","9.50 - 12.00","9.96",
"12/15/2022","OBB Rate","9.50 - 17.50","11.22",
"12/14/2022","OBB Rate","14.00- - 17.50","16.11",
"12/13/2022","OBB Rate","10.00 - 17.50","13.83",
"12/12/2022","OBB Rate","10.00 - 17.50","15.50",
"12/9/2022","OBB Rate","9.50 - 17.50","14.97",
"12/8/2022","OBB Rate","9.50 - 15.00","10.91",
"12/7/2022","OBB Rate","9.50 - 13.00","10.76",
"12/6/2022","OBB Rate","9.50 - 13.00","11.13",
"12/5/2022","OBB Rate","9.50 - 17.00","11.97",
"12/2/2022","OBB Rate","9.50 - 17.50","11.33",
"12/1/2022","OBB Rate","9.50 - 9.50","9.50",
"11/30/2022","OBB Rate","9.50 - 17.50","10.26",
"11/29/2022","OBB Rate","9.50 - 17.50","14.00",
"11/28/2022","OBB Rate","12.00 - 17.50","14.68",
"11/25/2022","OBB Rate","9.50 - 17.50","12.31",
"11/24/2022","OBB Rate","9.50 - 17.50","10.30",
"11/23/2022","OBB Rate","9.50 - 17.50","15.72",
"11/22/2022","OBB Rate","15.00 - 17.50","17.01",
"11/21/2022","OBB Rate","16.50 - 16.50","16.50",
"11/18/2022","OBB Rate","15.50 - 16.50","16.34",
"11/17/2022","OBB Rate","16.00 - 16.50","16.46",
"11/16/2022","OBB Rate","15.50 - 16.50","16.47",
"11/15/2022","OBB Rate","15.00 - 16.50","16.47",
"11/14/2022","OBB Rate","8.50 - 16.50","15.68",
"11/11/2022","OBB Rate","8.50 - 16.50","13.17",
"11/10/2022","OBB Rate","8.50 - 14.00","9.07",
"11/9/2022","OBB Rate","8.50 - 12.00","8.88",
"11/8/2022","OBB Rate","8.500 - 10.00","8.57",
"11/7/2022","OBB Rate","8.50 - 12.00","8.63",
"11/4/2022","OBB Rate","8.50 - 12.00","8.79",
"11/3/2022","OBB Rate","8.50 - 11.00","8.72",
"11/2/2022","OBB Rate","8.50 - 10.00","8.88",
"11/1/2022","OBB Rate","8.50 - 16.50","9.46",
"10/31/2022","OBB Rate","8.50 - 16.50","11.76",
"10/28/2022","OBB Rate","16.00 - 16.50","16.47",
"10/27/2022","OBB Rate","15.00 - 16.50","16.39",
"10/26/2022","OBB Rate","15.00 - 16.50","16,27",
"10/25/2022","OBB Rate","15.00 - 16.500","16.28",
"10/24/2022","OBB Rate","15.00 - 16.50","16.36",
"10/21/2022","OBB Rate","15.00 - 16.50","16.33",
"10/20/2022","OBB Rate","16.00 -16.50","16.49",
"10/19/2022","OBB Rate","14.50 - 16.50","16.11",
"10/18/2022","OBB Rate","14.00 - 16.50","16.26",
"10/17/2022","OBB Rate","15.50 - 16.50","16.30",
"10/14/2022","OBB Rate","16.00 - 16.50","16.48",
"10/13/2022","OBB Rate","15.50 - 16.50","16.31",
"10/12/2022","OBB Rate","14.00 - 16.50","15.74",
"10/11/2022","OBB Rate","15.00 - 16.50","15.97",
"10/7/2022","OBB Rate","15.00 - 16.50","15.79",
"10/6/2022","OBB Rate","13.50 - 16.50","15.73",
"10/5/2022","OBB Rate","14.00 - 16.50","16.01",
"10/4/2022","OBB Rate","11.00 - 16.50","15.21",
"9/30/2022","OBB Rate","8.50 - 16.50","11.83",
"9/29/2022","OBB Rate","12.90 - 16.50","15.19",
"9/28/2022","OBB Rate","13.00 - 16.50","15.56",
"9/27/2022","OBB Rate","11.00 - 16.50","13.63",
"9/26/2022","OBB Rate","10.00 - 15.00","14.1",
"9/23/2022","OBB Rate","9.00 - 15.00","14.44",
"9/22/2022","OBB Rate","10.00 - 15.00","14.19",
"9/21/2022","OBB Rate","10.00 - 15.00","13.30",
"9/20/2022","OBB Rate","9.00 - 13.00","10.29",
"9/19/2022","OBB Rate","8.00 - 15.00","10.04",
"9/16/2022","OBB Rate","7.00 - 13.00","11.03",
"9/15/2022","OBB Rate","7.00 - 8.00","7.13",
"9/14/2022","OBB Rate","7.00 - 8.50","7.26",
"9/13/2022","OBB Rate","7.00 - 14.00","9.18",
"9/12/2022","OBB Rate","7.00 - 14.00","11.47",
"9/9/2022","OBB Rate","7.00 - 15.00","8.90",
"9/8/2022","OBB Rate","7.00 - 15.00","9.28",
"9/7/2022","OBB Rate","12.00 - 15.00","12.94",
"9/6/2022","OBB Rate","10.00 - 14.00","12.20",
"9/5/2022","OBB Rate","11.00 - 14.50","12.04",
"9/2/2022","OBB Rate","9.00 - 15.00","12.20",
"9/1/2022","OBB Rate","7.00 - 900","7.08",
"8/31/2022","OBB Rate","7.00 - 9.00","7.17",
"8/30/2022","OBB Rate","7.00 - 15.00","8.48",
"8/29/2022","OBB Rate","7.00 - 15.00","9.08",
"8/26/2022","OBB Rate","8.00 - 15.00","12.52",
"8/25/2022","OBB Rate","7.00 - 15.00","12.95",
"8/24/2022","OBB Rate","13.00 - 15.00","14.47",
"8/23/2022","OBB Rate","13.00 - 15.00","14.54",
"8/22/2022","OBB Rate","14.50 - 15.00","14.99",
"8/19/2022","Call Rate","15.00 - 15.00","15.00",
"8/19/2022","OBB Rate","15.00 - 15.00","15.00",
"8/18/2022","OBB Rate","13.50 - 15.00","14.64",
"8/17/2022","OBB Rate","15.00 - 15.00","15.00",
"8/16/2022","OBB Rate","10.00 - 15.00","14.81",
"8/15/2022","OBB Rate","10.00 - 15.00","14.60",
"8/12/2022","OBB Rate","7.00 - 15.00","11.99",
"8/11/2022","OBB Rate","6.00 - 15.00","11.00",
"8/10/2022","OBB Rate","11.00 - 15.00","14,01",
"8/9/2022","OBB Rate","12.00 - 15.00","14.48",
"8/8/2022","OBB Rate","13.00 - 15.00","14.98",
"8/5/2022","OBB Rate","14.00 - 16.50","15.35",
"8/4/2022","OBB Rate","10.00 -15.00","14.56",
"8/3/2022","OBB Rate","1200 - 18.00","14.84",
"8/2/2022","OBB Rate","7.00 - 15.00","13.88",
"8/1/2022","OBB Rate","7.00 - 15.00","10.57",
"7/29/2022","OBB Rate","7.00 - 15.00","13.91",
"7/28/2022","OBB Rate","13.00 - 15.00","14.81",
"7/27/2022","OBB Rate","13.00 - 15.00","14.60",
"7/26/2022","OBB Rate","13.00 - 15.00","14.63",
"7/25/2022","OBB Rate","13.00 - 15.00","14.67",
"7/22/2022","OBB Rate","14.83 - 15.00","14.99",
"7/21/2022","OBB Rate","13.00 - 15.00","14.85",
"7/20/2022","OBB Rate","13.00 - 15.00","14.79",
"7/19/2022","OBB Rate","12.00 - 15.00","13.74",
"7/18/2022","OBB Rate","12.00 - 14.00","13.89",
"7/15/2022","OBB Rate","12.50 - 14.00","13.58",
"7/14/2022","Call Rate","13.00 - 13.00","13.00",
"7/14/2022","OBB Rate","12.50 - 14.00","13.80",
"7/13/2022","OBB Rate","13.00 - 14.00","13.91",
"7/8/2022","Call Rate","13.00 - 13.00","13.00",
"7/8/2022","OBB Rate","13.00 - 14.00","13.98",
"7/7/2022","OBB Rate","13.00 - 16.50","13.95",
"7/6/2022","OBB Rate","12.50 - 14.00","13.55",
"7/5/2022","OBB Rate","13.00 - 14.00","13.78",
"7/4/2022","OBB Rate","12.00 - 14.00","13.84",
"7/1/2022","OBB Rate","6.00 - 14.00","13.54",
"6/30/2022","OBB Rate","12,00 - 14.00","13.63",
"6/29/2022","Call Rate","14.00 - 14.00","14.00",
"6/29/2022","OBB Rate","11.00 - 14.00","13.55",
"6/28/2022","OBB Rate","12.00 - 14.00","13.42",
"6/27/2022","OBB Rate","12.50 - 14.00","13.73",
"6/24/2022","Call Rate","14.00 - 14.00","14.00",
"6/24/2022","OBB Rate","13.00 - 14.00","13.66",
"6/23/2022","OBB Rate","6.00 - 14.00","13.53",
"6/22/2022","OBB Rate","12.50 - 14.00","13.48",
"6/21/2022","OBB Rate","10.00 - 14.00","13.70",
"6/20/2022","OBB Rate","12.00 - 14.00","13.93",
"6/17/2022","OBB Rate","6.00 - 14.00","8.88",
"6/16/2022","Call Rate","14.00 - 14.00","14.00",
"6/16/2022","OBB Rate","6.00 - 14.00","11.31",
"6/15/2022","OBB Rate","6.00 - 14.00","13.34",
"6/14/2022","OBB Rate","6.00 - 14.00","13.08",
"6/10/2022","OBB Rate","7.00 - 14.00","12.05",
"6/9/2022","Call Rate","7.50 -7.50","7.50",
"6/9/2022","OBB Rate","6.00 - 10.00","7.28",
"6/8/2022","OBB Rate","6.00 - 14.00","8.09",
"6/7/2022","OBB Rate","6.00 -10.00","6.63",
"6/6/2022","OBB Rate","6.00 - 10.00","6.46",
"6/3/2022","OBB Rate","6.00 - 10.00","6.27",
"6/2/2022","OBB Rate","6.00 - 10.00","6.10",
"6/1/2022","Call Rate","6.00 - 60.00","6.00",
"6/1/2022","OBB Rate","6.00 - 10.00","6.50",
"5/31/2022","OBB Rate","6.00 - 14.00","10.30",
"5/30/2022","OBB Rate","8.00 - 14.00","12.39",
"5/27/2022","OBB Rate","12.50 - 14.00","13.85",
"5/26/2022","OBB Rate","12.50-14.00","13.29",
"5/25/2022","OBB Rate","11.50-14.00","13.36",
"5/24/2022","OBB Rate","4.50-14.00","11.97",
"5/23/2022","Call Rate","12.50 - 12.50","12.50",
"5/23/2022","OBB Rate","8.00 - 12.50","11.53",
"5/20/2022","OBB Rate","10.00-12.50","11.98",
"5/20/2022","Call Rate","12.50-12.50","12.50",
"5/19/2022","OBB Rate","10.50 -12.50","12.17",
"5/18/2022","OBB Rate","4.50-12.50","11.53",
"5/17/2022","OBB Rate","4.50 - 12.50","11.32",
"5/16/2022","OBB Rate","5.00 - 10.00","8,7",
"5/13/2022","Call Rate","11.00-11.00","11.00",
"5/13/2022","OBB Rate","4.50 - 12.50","8.89",
"5/12/2022","OBB Rate","4.50 - 8.50","4.81",
"5/11/2022","OBB Rate","4.50 - 9.00","6.30",
"5/10/2022","OBB Rate","4.50 - 9.00","6.04",
"5/9/2022","Call Rate","5.00 - 5.00","5.00",
"5/9/2022","OBB Rate","4.500 - 8.00","5.55",
"5/6/2022","OBB Rate","4.50 - 6.50","4.65",
"5/5/2022","Call Rate","5.00 - 5.00","5.00",
"5/5/2022","OBB Rate","4.50 - 5.00","4.55",
"5/5/2022","OBB Rate","4.50 - 8.00","5.32",
"5/4/2022","OBB Rate","4.50 - 6.50","4.67",
"4/29/2022","Call Rate","12.50 - 12.50","12.50",
"4/29/2022","OBB Rate","5.00 - 12.50","10.69",
"4/28/2022","OBB Rate","5.00 - 12.50","9.33",
"4/27/2022","Call Rate","12.50 - 12.50","12.50",
"4/26/2022","OBB Rate","4.50 - 12.50","5.96",
"4/25/2022","Call Rate","10.05 - 10.05","10.05",
"4/25/2022","OBB Rate","7.00 - 12.50","8.42",
"4/22/2022","Call Rate","5.00 - 5.00","5.00",
"4/22/2022","OBB Rate","4.50 - 8.50","4.66",
"4/21/2022","OBB Rate","8.00 - 12.50","6.44",
"4/20/2022","Call Rate","12.50 - 12.50","12.50",
"4/20/2022","OBB Rate","8.00 - 12.50","11.17",
"4/19/2022","OBB Rate","5.00 - 12.50","8.62",
"4/19/2022","Call Rate","7.00 - 7.00","7.00",
"4/14/2022","OBB Rate","5.00 - 12.50","11.55",
"4/13/2022","OBB Rate","4.50-8.00","5.12",
"4/12/2022","OBB Rate","4.50-10.00","5.73",
"4/11/2022","OBB Rate","4.50-9.50","7.70",
"4/8/2022","OBB Rate","4.50-6.50","5.32",
"4/7/2022","OBB Rate","4.50 - 6.50","4.95",
"4/6/2022","OBB Rate","4.50 - 9.50","6.54",
"4/4/2022","OBB Rate","4.50 - 8.00","6.32",
"4/1/2022","OBB Rate","4.50 - 12.50","9.60",
"3/31/2022","OBB Rate","4.50-5.00","4.53",
"3/30/2022","OBB Rate","4.50-8.00","4.99",
"3/29/2022","OBB Rate","4.50 - 5.00","4.53",
"3/28/2022","OBB Rate","7.00-13.50","11.49",
"3/28/2022","OBB Rate","4.50 - 5.00","4.60",
"3/25/2022","OBB Rate","4.50 - 12,50","5.53",
"3/24/2022","OBB Rate","4.50 - 12.50","10.99",
"3/23/2022","OBB Rate","5.00 - 12.50","12.14",
"3/22/2022","OBB Rate","9.00 - 12.50","11.94",
"3/17/2022","OBB Rate","4.50 - 7.00","4.92",
"3/10/2022","OBB Rate","4.50 - 9.00","4.89",
"3/2/2022","OBB Rate","1.00 - 5.00","2.75",
"2/24/2022","OBB Rate","8.00-15.00","12.67",
"2/21/2022","OBB Rate","3.00 - 15.00","12.04",
"2/18/2022","OBB Rate","3.00 - 18.00","12.13",
"2/17/2022","OBB Rate","0.10-3.00","0.57",
"2/16/2022","OBB Rate","0.25-3.00","1.08",
"2/15/2022","OBB Rate","0.50 - 3.00","1.56",
"2/14/2022","OBB Rate","1.00-11.50","2.70",
"2/11/2022","OBB Rate","1.00-11.50","2.85",
"2/10/2022","OBB Rate","0.10 - 3.00","1.36",
"2/9/2022","OBB Rate","0.10-11.50","1.27",
"2/8/2022","Call Rate","5.00 - 5.00","5.00",
"2/8/2022","OBB Rate","0.5 - 11.50","4.26",
"2/7/2022","Call Rate","13.00 - 13.00","13.00",
"2/7/2022","OBB Rate","8.00 - 18.00","12.97",
"2/4/2022","Call Rate","14.00-15.00","14.49",
"2/4/2022","OBB Rate","11.00-20.00","13.24",
"2/3/2022","OBB Rate","0.10-1.00","0.71",
"2/2/2022","OBB Rate","0.20-4.00","0.92",
"2/1/2022","OBB Rate","0.50-6.00","2.77",
"1/31/2022","OBB Rate","2.00-8.00","6.00",
"1/28/2022","OBB Rate","0.20-3.00","0.88",
"1/27/2022","OBB Rate","0.10-3.00","1.14",
"1/26/2022","OBB Rate","0.20-5.00","1.19",
"1/25/2022","OBB Rate","0.20-4.00","1.89",
"1/24/2022","OBB Rate","2.00-12.00","6.58",
"1/21/2022","90-Day","16.00-16.00","16.00",
"1/21/2022","OBB Rate","3.50-18.00","12.64",
"1/19/2022","OBB Rate","10.00-20.00","14.09",
"1/18/2022","OBB Rate","11.00-17.00","12.87",
"1/17/2022","OBB Rate","12.00-12.00","15.29",
"1/14/2022","Call Rate","14.00-14.00","14.00",
"1/14/2022","OBB Rate","11.00-18.00","13.58",
"1/13/2022","Call Rate","14.00-14.00","14.00",
"1/13/2022","OBB Rate","2.00-18.00","11.72",
"1/12/2022","Call Rate","14.00-15.00","14.57",
"1/12/2022","7-Day","13.00-13.00","13.00",
"1/12/2022","OBB Rate","11.00-18.00","14.31",
"1/11/2022","Call Rate","13.00-13.00","13.00",
"1/11/2022","OBB Rate","10.00-14.00","13.34",
"1/10/2022","OBB Rate","4.00-20.00","13.32",
"1/7/2022","OBB Rate","3.00-16.00","10.62",
"1/6/2022","OBB Rate","1.00-12.50","3.80",
"1/5/2022","OBB Rate","2.00-12.50","4.47",
"1/4/2022","OBB Rate","3.00-14.50","5.50",
"12/31/2021","OBB Rate","4.50-14.50","9.47",
"12/30/2021","OBB Rate","4.00-15.00","9.30",
"12/29/2021","OBB Rate","8.00-16.00","11.28",
"12/24/2021","OBB Rate","2.00-20.00","11.79",
"12/24/2021","Call Rate","2.00-20.00","20.00",
"12/23/2021","OBB Rate","1.00-15.00","7.18",
"12/22/2021","OBB Rate","10.50-18.00","13.57",
"12/21/2021","OBB Rate","5.00-17.000","10.77",
"12/20/2021","OBB Rate","7.00-17.00","12.47",
"12/17/2021","OBB Rate","5.00-16.50","10.04",
"12/15/2021","OBB Rate","12.00 - 15.00","13.58",
"12/14/2021","OBB Rate","10.50 - 16.00","13.86",
"12/13/2021","OBB Rate","12.00 - 16.00","14.10",
"12/10/2021","OBB Rate","10.00 - 20.00","13.77",
"12/9/2021","OBB Rate","2.00 - 16.00","9.93",
"12/8/2021","OBB Rate","13.00-18.00","15.48",
"12/7/2021","OBB Rate","12.00 - 18.00","15.48",
"12/6/2021","OBB Rate","13.00 - 21.00","17.00",
"12/3/2021","OBB Rate","12.00 - 17.50","15.45",
"12/2/2021","OBB Rate","8.00 - 18.00","15.06",
"12/1/2021","OBB Rate","10.50 - 19.00","15.64",
"11/30/2021","Call Rate","18.00 - 18.00","18.00",
"11/30/2021","OBB Rate","12.00 - 20.00","15.64",
"11/29/2021","OBB Rate","10.00 - 18.00","15.64",
"11/26/2021","Call Rate","16.00 - 16.00","16.00",
"11/26/2021","OBB Rate","2.00 - 23.00","13.74",
"11/25/2021","Call Rate","4.00 - 5.00","4.83",
"11/25/2021","OBB Rate","2.00 - 15.00","5.85",
"11/24/2021","OBB Rate","1.00 - 15.00","7.46",
"11/23/2021","OBB Rate","12.00 - 20.00","15.09",
"11/22/2021","OBB Rate","12.00 - 20.00","15.70",
"11/19/2021","OBB Rate","13.00 - 40.00","17.91",
"11/18/2021","OBB Rate","10.00 - 18.00","13.89",
"11/17/2021","OBB Rate","4.00 - 18.50","13.44",
"11/16/2021","OBB Rate","4.00 - 16.00","12.97",
"11/15/2021","OBB Rate","2.50 - 18.00","10.13",
"11/12/2021","OBB Rate","2.00 - 25.00","7.21",
"11/11/2021","OBB Rate","0.50-15.00","3.90",
"11/9/2021","Call Rate","4.00 - 4.00","4.00",
"11/9/2021","OBB Rate","0.50 - 15.00","3.90",
"11/8/2021","OBB Rate","0.50 - 13.00","6.96",
"11/5/2021","Call Rate","12.50 - 12.50","12.50",
"11/5/2021","OBB Rate","2.00 - 15.00","11.74",
"11/4/2021","Call Rate","12.50 - 13.00","12.89",
"11/4/2021","OBB Rate","5.00 - 15.00","11.35",
"11/3/2021","Call Rate","12.50 - 12.50","12.50",
"11/3/2021","OBB Rate","5.00 - 14.00","11.19",
"11/2/2021","OBB Rate","4.00 - 13.00","5.68",
"11/1/2021","OBB Rate","3.00 - 15.00","10.81",
"10/29/2021","Call Rate","25.00 - 25.00","25.00",
"10/29/2021","OBB Rate","13.00 - 25.00","17.64",
"10/28/2021","Call Rate","15.00 - 15.00","15.00",
"10/28/2021","OBB Rate","13.00 - 35.00","18.63",
"10/27/2021","Call Rate","15.00 - 15.00","15.00",
"10/27/2021","OBB Rate","11.00 - 25.00","16.13",
"10/26/2021","OBB Rate","11.00 - 17.00","14.26",
"10/25/2021","OBB Rate","11.00 - 22.00","15.85",
"10/22/2021","OBB Rate","10.00 - 25.00","18.82",
"10/21/2021","OBB Rate","10.00 - 29.00","15.04",
"10/20/2021","OBB Rate","11.00 - 25.00","14.64",
"10/18/2021","OBB Rate","7.00 - 20.00","14.45",
"10/15/2021","OBB Rate","7.00 - 33.00","15.19",
"10/14/2021","OBB Rate","5.00 - 15.00","10.11",
"10/13/2021","Call Rate","8.00 - 8.00","8.00",
"10/13/2021","OBB Rate","5.00 - 14.00","7.89",
"10/12/2021","OBB Rate","4.00 - 14.50","6.93",
"10/11/2021","OBB Rate","7.00 - 16.00","10.64",
"10/8/2021","OBB Rate","7.00 - 16.00","13.23",
"10/7/2021","OBB Rate","6.00 - 16.00","12.64",
"10/6/2021","OBB Rate","5.00 - 20.00","7.87",
"10/5/2021","Call Rate","10.00 - 10.00","10.00",
"10/5/2021","OBB Rate","2.50 - 13.00","6.55",
"10/4/2021","Call Rate","7.00 - 7.00","7.00",
"10/4/2021","OBB Rate","2.00 - 12.00","6.85",
"9/30/2021","Call Rate","8.00 - 20.00","14.15",
"9/30/2021","OBB Rate","2.00 - 20.00","13.12",
"9/29/2021","OBB Rate","0.10 - 15.00","5.23",
"9/28/2021","Call Rate","12.75 - 15.00","14.13",
"9/28/2021","OBB Rate","6.50 - 19.00","12.89",
"9/27/2021","Call Rate","15.00 - 15.00","15.00",
"9/27/2021","OBB Rate","12.50 - 16.50","14.53",
"9/24/2021","OBB Rate","7.00 - 22.00","16.58",
"9/23/2021","OBB Rate","5.00 - 21.00","12.74",
"9/23/2021","Call Rate","16.00 - 16.00","16.00",
"9/22/2021","Call Rate","21.00 - 21.00","21.00",
"9/22/2021","OBB Rate","4.00 - 25.00","15.70",
"9/21/2021","OBB Rate","4.00 - 18.50","13.89",
"9/21/2021","Call Rate","14.00 - 16.00","14.33",
"9/20/2021","Call Rate","12.50 - 12.50","12.50",
"9/20/2021","OBB Rate","4.00 - 16.00","12.45",
"9/17/2021","Call Rate","17.00 - 17.00","17.00",
"9/17/2021","OBB Rate","3.00 - 22.00","13.84",
"9/16/2021","Call Rate","4.00 - 4.00","4.00",
"9/16/2021","OBB Rate","0.50 - 20.00","8.11",
"9/15/2021","OBB Rate","12.00 - 20.00","14.34",
"9/14/2021","OBB Rate","12.00 - 20.00","14.87",
"9/13/2021","OBB Rate","12.50 - 20.00","14.88",
"9/10/2021","OBB Rate","9.00 - 16.00","12.72",
"9/9/2021","OBB Rate","8.00 - 14.00","10.41",
"9/8/2021","OBB Rate","2.00 - 14.00","8.27",
"9/7/2021","OBB Rate","4.00 - 10.00","6.77",
"9/6/2021","OBB Rate","1.00 - 13.00","5.55",
"9/3/2021","OBB Rate","1.00 - 15.00","7.48",
"9/2/2021","Call Rate","4.00 - 4.00","4.00",
"9/2/2021","OBB Rate","1.00 - 16.00","5.18",
"9/1/2021","OBB Rate","2.00 - 15.00","4.86",
"8/31/2021","OBB Rate","3.00 - 15.00","6.06",
"8/30/2021","OBB Rate","4.00 - 16.00","7.31",
"8/27/2021","Call Rate","7.50 - 10.00","9.39",
"8/27/2021","OBB Rate","3.50 - 16.00","6.66",
"8/26/2021","OBB Rate","3.00 - 16.00","7.64",
"8/25/2021","OBB Rate","2.00 - 18.50","11.63",
"8/24/2021","OBB Rate","13.50 - 25.00","16.46",
"8/23/2021","Call Rate","17.50 - 17.50","17.50",
"8/23/2021","OBB Rate","15.00 - 22.50","17.20",
"8/20/2021","OBB Rate","14.00 - 30.00","21.34",
"8/19/2021","OBB Rate","14.00 - 25.00","17.38",
"8/18/2021","OBB Rate","15.00 - 21.00","17.24",
"8/17/2021","OBB Rate","15.00 - 20.00","17.07",
"8/16/2021","OBB Rate","12.50 - 22.50","17.32",
"8/13/2021","OBB Rate","12.50 - 18.00","16.72",
"8/12/2021","OBB Rate","12.00 - 20.00","16.94",
"8/11/2021","OBB Rate","14.50 - 19.00","16.49",
"8/10/2021","OBB Rate","12.00 - 20.00","14.84",
"8/9/2021","OBB Rate","10.00 - 18.00","13.73",
"8/6/2021","OBB Rate","3.00 - 20.00","10.80",
"8/5/2021","OBB Rate","2.00-10.00","6.45",
"8/4/2021","OBB Rate","4.50 - 10.00","7.40",
"8/3/2021","OBB Rate","4.00 - 10.00","6.64",
"8/2/2021","OBB Rate","3.50 - 10.00","5.03",
"7/30/2021","OBB Rate","2.00 - 8.00","6.07",
"7/29/2021","OBB Rate","1.50 - 13.00","6.61",
"7/28/2021","Call Rate","16.00 - 16.00","16.00",
"7/28/2021","OBB Rate","12.00 - 17.00","15.14",
"7/27/2021","OBB Rate","12.50 - 18.00","15.23",
"7/26/2021","OBB Rate","5.00 - 20.00","15.38",
"7/23/2021","OBB Rate","3.00 - 31.00","17.46",
"7/19/2021","OBB Rate","5.50 - 18.00","11.01",
"7/16/2021","OBB Rate","2.00 - 12.00","5.18",
"7/15/2021","Call Rate","6.00 - 6.00","6.00",
"7/15/2021","OBB Rate","4.00 - 19.00","8.25",
"7/14/2021","Call Rate","16.00 - 16.00","16.00",
"7/14/2021","OBB Rate","11.00 - 19.50","14.15",
"7/13/2021","Call Rate","17.00 - 18.00","17.13",
"7/13/2021","OBB Rate","14.00 - 20.00","17.58",
"7/12/2021","OBB Rate","12.25 - 19.00","14.90",
